id	title	description	price	condition	link	image_link	additional_image_link	availability_date	availability	brand	adult	tax
M9-jimanga-bumblebee-2023-07-10	7 Month-old YBBB Ambilobe Panther Chameleon	7 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Bumblebee. This is the first combo between two of our 5th gen Ambilobe - great ybbb combo! We've included sire and dam dendrograms if available, but you can view our Jimanga or Bumblebee breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/bumblebee/2023-07-10/M9/	https://ipardalis.com//img/babies/20230710/M9.jpg	https://ipardalis.com//img/ambilobe/jimangabumblebee.jpg	2023-07-10	in_stock	iPardalis	No	US:MD:6.00:n
F1-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	349	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/F1/	https://ipardalis.com//img/babies/20231009/F1.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
F2-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	349	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/F2/	https://ipardalis.com//img/babies/20231009/F2.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
F3-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	349	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/F3/	https://ipardalis.com//img/babies/20231009/F3.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
M1-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/M1/	https://ipardalis.com//img/babies/20231009/M1.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
M2-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	499	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/M2/	https://ipardalis.com//img/babies/20231009/M2.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
M3-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/M3/	https://ipardalis.com//img/babies/20231009/M3.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
M4-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	499	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/M4/	https://ipardalis.com//img/babies/20231009/M4.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	out_of_stock	iPardalis	No	US:MD:6.00:n
M5-jimanga-kintana-2023-10-09	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Kintana. Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female. We've included sire and dam dendrograms if available, but you can view our Jimanga or Kintana breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/jimanga/kintana/2023-10-09/M5/	https://ipardalis.com//img/babies/20231009/M5.jpg	https://ipardalis.com//img/ambilobe/jimangakintana.jpg	2023-10-09	in_stock	iPardalis	No	US:MD:6.00:n
M10-kiborin-maize-2023-07-05	7 Month-old YBBB Ambilobe Panther Chameleon	7 Month-old YBBB Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/kiborin/maize/2023-07-05/M10/	https://ipardalis.com//img/babies/20230705/M10_2.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	out_of_stock	iPardalis	No	US:MD:6.00:n
