id	title	description	price	condition	link	image_link	additional_image_link	availability_date	availability	brand	adult	tax
F6-manjaka-noko-2023-02-13	11 Month-old YBBB Ambilobe Panther Chameleon	11 Month-old YBBB Ambilobe Panther Chameleon from Manjaka and Noko. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with our beautiful female Noko. We've included sire and dam dendrograms if available, but you can view our Manjaka or Noko breeder pages for more information.	275	New	https://ipardalis.com/babies/manjaka/noko/2023-02-13/F6/	https://ipardalis.com//img/babies/20230213/F6.jpg	https://ipardalis.com//img/ambilobe/manjakanoko.jpg	2023-02-13	in_stock	iPardalis	No	US:MD:6.00:n
M3-manjaka-parasy-2022-08-20	17 Month-old YBBB Ambilobe Panther Chameleon	17 Month-old YBBB Ambilobe Panther Chameleon from Manjaka and Parasy. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with Jackson's sister, Parasy. A great extension of our line! We've included sire and dam dendrograms if available, but you can view our Manjaka or Parasy breeder pages for more information.	499	New	https://ipardalis.com/babies/manjaka/parasy/2022-08-20/M3/	https://ipardalis.com//img/babies/20220820/available/M3_1.jpg	https://ipardalis.com//img/ambilobe/manjakaparasy.jpg	2022-08-20	in_stock	iPardalis	No	US:MD:6.00:n
M2-ralph-kosma-2023-09-01	5 Month-old RBBB Ambilobe Panther Chameleon	5 Month-old RBBB Ambilobe Panther Chameleon from Ralph and Kosma. Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma We've included sire and dam dendrograms if available, but you can view our Ralph or Kosma breeder pages for more information.	449	New	https://ipardalis.com/babies/ralph/kosma/2023-09-01/M2/	https://ipardalis.com//img/babies/20230901/M2.jpg	https://ipardalis.com//img/ambilobe/ralphkosma.jpg	2023-09-01	in_stock	iPardalis	No	US:MD:6.00:n
M4-ralph-kosma-2023-09-01	5 Month-old RBBB Ambilobe Panther Chameleon	5 Month-old RBBB Ambilobe Panther Chameleon from Ralph and Kosma. Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma We've included sire and dam dendrograms if available, but you can view our Ralph or Kosma breeder pages for more information.	499	New	https://ipardalis.com/babies/ralph/kosma/2023-09-01/M4/	https://ipardalis.com//img/babies/20230901/M4.jpg	https://ipardalis.com//img/ambilobe/ralphkosma.jpg	2023-09-01	in_stock	iPardalis	No	US:MD:6.00:n
M5-ralph-kosma-2023-09-01	5 Month-old RBBB Ambilobe Panther Chameleon	5 Month-old RBBB Ambilobe Panther Chameleon from Ralph and Kosma. Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma We've included sire and dam dendrograms if available, but you can view our Ralph or Kosma breeder pages for more information.	449	New	https://ipardalis.com/babies/ralph/kosma/2023-09-01/M5/	https://ipardalis.com//img/babies/20230901/M5.jpg	https://ipardalis.com//img/ambilobe/ralphkosma.jpg	2023-09-01	in_stock	iPardalis	No	US:MD:6.00:n
M6-ralph-kosma-2023-09-01	5 Month-old RBBB Ambilobe Panther Chameleon	5 Month-old RBBB Ambilobe Panther Chameleon from Ralph and Kosma. Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma We've included sire and dam dendrograms if available, but you can view our Ralph or Kosma breeder pages for more information.	449	New	https://ipardalis.com/babies/ralph/kosma/2023-09-01/M6/	https://ipardalis.com//img/babies/20230901/M6.jpg	https://ipardalis.com//img/ambilobe/ralphkosma.jpg	2023-09-01	in_stock	iPardalis	No	US:MD:6.00:n
M4-ralph-robina-2023-10-02	4 Month-old RBBB Ambilobe Panther Chameleon	4 Month-old RBBB Ambilobe Panther Chameleon from Ralph and Robina. Great RBBB x RBBB combo. Ralph with Clapton's daughter, Robina. We've included sire and dam dendrograms if available, but you can view our Ralph or Robina breeder pages for more information.	449	New	https://ipardalis.com/babies/ralph/robina/2023-10-02/M4/	https://ipardalis.com//img/babies/20230912/M4.jpg	https://ipardalis.com//img/ambilobe/ralphrobina.jpg	2023-10-02	in_stock	iPardalis	No	US:MD:6.00:n
M1-zandrin-mara-2023-06-05	7 Month-old Rainbow Ambilobe Panther Chameleon	7 Month-old Rainbow Ambilobe Panther Chameleon from Zandrin and Mara. This is Zandrin's second clutch, and I am excited to see some of his little ybbb color up! We've included sire and dam dendrograms if available, but you can view our Zandrin or Mara breeder pages for more information.	399	New	https://ipardalis.com/babies/zandrin/mara/2023-06-05/M1/	https://ipardalis.com//img/babies/20230605/M1.jpg	https://ipardalis.com//img/ambilobe/zandrinmara.jpg	2023-06-05	in_stock	iPardalis	No	US:MD:6.00:n
F2-zozoro-artalla-2023-02-04	11 Month-old YBBB Ambilobe Panther Chameleon	11 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artalla. Great quality cb ybbb Ambilobe without any of our main line in it (except Alla). We've included sire and dam dendrograms if available, but you can view our Zozoro or Artalla breeder pages for more information.	349	New	https://ipardalis.com/babies/zozoro/artalla/2023-02-04/F2/	https://ipardalis.com//img/babies/20230204/F2.jpg	https://ipardalis.com//img/ambilobe/zozoroartalla.jpg	2023-02-04	in_stock	iPardalis	No	US:MD:6.00:n
F5-zozoro-artalla-2023-02-04	11 Month-old YBBB Ambilobe Panther Chameleon	11 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artalla. Great quality cb ybbb Ambilobe without any of our main line in it (except Alla). Slight lip issue - fully healedWe've included sire and dam dendrograms if available, but you can view our Zozoro or Artalla breeder pages for more information.	299	New	https://ipardalis.com/babies/zozoro/artalla/2023-02-04/F5/	https://ipardalis.com//img/babies/20230204/F5.jpg	https://ipardalis.com//img/ambilobe/zozoroartalla.jpg	2023-02-04	in_stock	iPardalis	No	US:MD:6.00:n
M2-zozoro-artilly-2023-08-03	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artilly. Great quality cb ybbb Ambilobe. We've included sire and dam dendrograms if available, but you can view our Zozoro or Artilly breeder pages for more information.	499	New	https://ipardalis.com/babies/zozoro/artilly/2023-08-03/M2/	https://ipardalis.com//img/babies/20230711/M2_2.jpg	https://ipardalis.com//img/ambilobe/zozoroartilly.jpg	2023-08-03	in_stock	iPardalis	No	US:MD:6.00:n
M3-zozoro-artilly-2023-08-03	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artilly. Great quality cb ybbb Ambilobe. We've included sire and dam dendrograms if available, but you can view our Zozoro or Artilly breeder pages for more information.	475	New	https://ipardalis.com/babies/zozoro/artilly/2023-08-03/M3/	https://ipardalis.com//img/babies/20230711/M3_2.jpg	https://ipardalis.com//img/ambilobe/zozoroartilly.jpg	2023-08-03	in_stock	iPardalis	No	US:MD:6.00:n
M4-zozoro-artilly-2023-08-03	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artilly. Great quality cb ybbb Ambilobe. We've included sire and dam dendrograms if available, but you can view our Zozoro or Artilly breeder pages for more information.	549	New	https://ipardalis.com/babies/zozoro/artilly/2023-08-03/M4/	https://ipardalis.com//img/babies/20230711/M4_2.jpg	https://ipardalis.com//img/ambilobe/zozoroartilly.jpg	2023-08-03	in_stock	iPardalis	No	US:MD:6.00:n
M6-zozoro-artilly-2023-08-03	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Zozoro and Artilly. Great quality cb ybbb Ambilobe. We've included sire and dam dendrograms if available, but you can view our Zozoro or Artilly breeder pages for more information.	649	New	https://ipardalis.com/babies/zozoro/artilly/2023-08-03/M6/	https://ipardalis.com//img/babies/20230711/M6_2.jpg	https://ipardalis.com//img/ambilobe/zozoroartilly.jpg	2023-08-03	in_stock	iPardalis	No	US:MD:6.00:n
