sire,dam,laid,hatchstart,hatchend,hatchnum,clutchsize,maleprice,femaleprice,sire_tree,sire_doh,dam_tree,dam_doh,lineage_collage
jimanga,kintana,2023-02-11,2023-10-05,2023-10-09,24,25,399,299,/blog/2021/12/03/jimanga/tree.png,2021/12/03,/blog/2022/07/31/kintana/tree.png,2022/07/31,/img/ambilobe/jimangakintana.jpg
ghost,tsara,2023-03-04,2023-12-17,2023-12-27,12,25,449,399,/blog/2021/10/17/ghost/tree.png,2021/10/17,/blog/2022/06/01/tsara/tree.png,2022/06/01,/img/ambilobe/ghosttsara.jpg
bibi,mami,2023-03-05,NA,NA,0,13,449,399,/blog/2022/06/29/bibi/tree.png,2022/06/29,/blog/2022/05/11/mami/tree.png,2022/05/11,/img/ambilobe/bibimami.jpg
ghost,tarehy,2023-04-11,2024-01-04,2024-01-28,27,30,449,399,/blog/2021/10/17/ghost/tree.png,2021/10/17,/blog/2022/05/31/tarehy/tree.png,2022/05/31,/img/ambilobe/ghosttarehy.jpg
ralph,mainty,2023-04-13,2024-01-03,2024-01-13,26,34,499,349,/blog/2021/06/05/ralph/tree.png,2021/06/05,/blog/2021/09/05/mainty/tree.png,2021/09/05,/img/ambilobe/ralphmainty.jpg
tratra,miafina,2023-04-20,2023-11-05,2023-12-15,8,23,449,325,/blog/2022/06/29/tratra/tree.png,2022/06/29,/blog/2022/06/29/miafina/tree.png,2022/06/29,/img/ambilobe/tratramiafina.jpg
tratra,parasi,2023-04-20,NA,NA,0,23,449,325,/blog/2022/06/29/tratra/tree.png,2022/06/29,/blog/2022/08/20/parasi/tree.png,2022/08/20,/img/ambilobe/tratraparasi.jpg
papamavo,teny,2023-05-06,NA,NA,0,17,449,299,/blog/2022/03/01/papamavo/tree.png,2022/03/01,/blog/2022/09/10/teny/tree.png,2022/09/10,/img/ambilobe/papamavoteny.jpg
jackson,beans,2023-06-15,NA,NA,0,33,425,350,/blog/2021/01/20/jackson/tree.png,2021/01/20,/blog/2022/01/12/beans/tree.png,2022/01/12,/img/ambilobe/jacksonbeans.jpg
tratra,parasi,2023-06-18,NA,NA,0,22,449,325,/blog/2022/06/29/tratra/tree.png,2022/06/29,/blog/2022/08/20/parasi/tree.png,2022/08/20,/img/ambilobe/tratraparasi.jpg
ralph,mainty,2023-07-01,NA,NA,0,28,499,349,/blog/2021/06/05/ralph/tree.png,2021/06/05,/blog/2021/09/05/mainty/tree.png,2021/09/05,/img/ambilobe/ralphmainty.jpg
papamavo,teny,2023-07-19,NA,NA,0,26,449,299,/blog/2022/03/01/papamavo/tree.png,2022/03/01,/blog/2022/09/10/teny/tree.png,2022/09/10,/img/ambilobe/papamavoteny.jpg
zandrin,avana,2023-08-20,NA,NA,0,21,449,349,/blog/2021/06/04/zandrin/tree.png,2021/06/04,/blog/2023/01/23/avana/tree.png,2023/01/23,/img/ambilobe/zandrinavana.jpg
papafee,tsara,2023-09-22,NA,NA,0,27,449,349,/blog/2020/07/17/papafee/tree.png,2020/07/17,/blog/2022/06/01/tsara/tree.png,2022/06/01,/img/ambilobe/papafeetsara.jpg
papamavo,teny,2023-10-04,NA,NA,0,26,449,299,/blog/2022/03/01/papamavo/tree.png,2022/03/01,/blog/2022/09/10/teny/tree.png,2022/09/10,/img/ambilobe/papamavoteny.jpg
jimanga,kintana,2023-10-05,NA,NA,0,31,399,299,/blog/2021/12/03/jimanga/tree.png,2021/12/03,/blog/2022/07/31/kintana/tree.png,2022/07/31,/img/ambilobe/jimangakintana.jpg
papafee,tsara,2023-10-31,NA,NA,0,26,449,349,/blog/2020/07/17/papafee/tree.png,2020/07/17,/blog/2022/06/01/tsara/tree.png,2022/06/01,/img/ambilobe/papafeetsara.jpg
